公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,薪资,职位福利,经营范围,职位类型,公司福利,第二职位类型,城市
北京趣拿软件科技有限公司,去哪儿网,2000人以上,不需要融资,海淀区,数据分析实习生,不限,本科,2k-4k,带薪病假；带薪年假；六险一金；团建基金,旅游,开发|测试|运维类,"['技能培训', '节日礼物', '带薪年假', '试用期全薪']",数据开发,北京
上海骊翰科技咨询有限公司,CB Insights CHINA,50-150人,A轮,朝阳区,CB Insights数据分析实习生,在校/应届,本科,2k-4k,多劳多得 晋升空间大,其他,开发|测试|运维类,[],数据开发,北京
广州市西美信息科技有限公司,广州市西美信息科技有限公司,50-150人,不需要融资,越秀区,数据分析员实习生,在校/应届,本科,1k-2k,具有国外的视野、公司稳定发展,数据服务,开发|测试|运维类,"['周末双休', '五险一金', '管理规范', '带薪年假']",数据开发,广州
云智联网络科技（北京）有限公司,亚创,500-2000人,C轮,朝阳区,数据分析实习生,在校/应届,本科,2k-4k,团队氛围好 下午茶,"移动互联网,社交",开发|测试|运维类,"['节日礼物', '年度旅游', '岗位晋升', '管理规范']",数据开发,北京
前锦网络信息技术（上海）有限公司,51JOB,2000人以上,上市公司,黄浦区,数据分析实习生,在校/应届,不限,2k-3k,师徒制；弹性工作时间,"移动互联网,企业服务",开发|测试|运维类,[],数据开发,上海
杭州酷玛网络技术有限公司,酷宝数据,15-50人,A轮,滨江区,数据分析实习生,在校/应届,本科,3k以上,周末双休，五险一金，节日福利,"电商,数据服务",产品|需求|项目类,"['年终分红', '绩效奖金', '股票期权', '五险一金']",数据分析,杭州
算话智能科技有限公司,算话智能科技有限公司,50-150人,B轮,青浦区,数据分析实习岗,在校/应届,本科,3k-5k,优秀团队、股权激励、福利津贴,"数据服务,移动互联网",产品|需求|项目类,"['股票期权', '交通补助', '绩效奖金', '优秀团队']",数据分析,上海
广州佰聆投资咨询有限公司,佰聆数据,150-500人,不需要融资,天河区,数据分析师（21届实习）,在校/应届,本科,3k-5k,周末双休，大数据行业，档案挂靠，可转正,"数据服务,软件开发",产品|需求|项目类,[],产品经理,广州
北京万山数据科技有限公司,万山数据,少于15人,未融资,东城区,数据分析实习生,在校/应届,本科,3k-5k,学以致用，专家带领,数据服务、企业服务,开发|测试|运维类,[],数据开发,北京
北京欧应信息技术有限公司,唯医骨科,150-500人,B轮,朝阳区,智能大数据分析实习生,在校/应届,本科,3k-5k,行业独角兽，有转正机会,医疗健康,开发|测试|运维类,"['带薪年假', '垂直社区', '绩效奖金', '扁平管理']",数据开发,北京
北京欧应信息技术有限公司,唯医骨科,150-500人,B轮,朝阳区,智能数据分析实习生,在校/应届,本科,3k-5k,全额五险一金，年终奖丰厚,医疗健康,开发|测试|运维类,"['带薪年假', '垂直社区', '绩效奖金', '扁平管理']",数据开发,北京
上海格蓝威驰信息科技有限公司,格蓝威驰科技,15-50人,天使轮,浦东新区,数据分析实习生,在校/应届,本科,4k-5k,直接与大牛学习交流,金融,开发|测试|运维类,"['弹性工作', '领导好', '扁平管理', '五险一金']",数据开发,上海
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,通州区,数据分析实习生,在校/应届,本科,3k-5k,专业团队 行业领跑 成长空间大 老板nice,电商,开发|测试|运维类,"['五险一金', '带薪年假', '免费班车', '定期体检']",数据开发,北京
树根互联技术有限公司,树根互联技术有限公司,150-500人,A轮,长沙县,数据分析实习生(J10694),在校/应届,不限,3k-5k,工业物联网,"移动互联网,企业服务",公务员|其他,"['专项奖金', '帅哥多', '领导好', '美女多']",储备干部|培训生|实习生,长沙
上海脉策数据科技有限公司,脉策科技,150-500人,B轮,杨浦区,数据分析师实习生,在校/应届,本科,3k-6k,"弹性工作,薪酬福利好,技术驱动,大牛互助","数据服务,企业服务",开发|测试|运维类,"['股票期权', '定期体检', '弹性工作', '扁平管理']",数据开发,上海
上海花楸餐饮管理有限公司,上海花楸餐饮管理有限...,15-50人,未融资,长宁区,数据分析(实习生),在校/应届,本科,2k-3k,直接接触项目的数据分析工作,消费生活,开发|测试|运维类,[],数据开发,上海
乐麦信息技术（杭州）有限公司,乐其电商,500-2000人,不需要融资,长宁区,数据分析师（实习生）,在校/应届,本科,5k-10k,周末双休,电商,产品|需求|项目类,"['绩效奖金', '带薪年假', '年度旅游', '弹性工作']",数据分析,上海
北京转转精神科技有限责任公司,转转,500-2000人,B轮,福田区,数据分析实习生,在校/应届,大专,3k-4k,行业前景好，工作氛围好,"移动互联网,消费生活",运营|编辑|客服类,"['带薪年假', '定期体检', '交通补助', '年底双薪']",运营,深圳
杭州初灵信息技术股份有限公司,初灵信息,500-2000人,上市公司,渝北区,大数据分析工程师(实习),在校/应届,本科,2k-3k,六险一金、年底双薪、餐补、交通补贴,"移动互联网,数据服务",开发|测试|运维类,"['午餐补助', '年度旅游', '带薪年假', '年底双薪']",数据开发,重庆
北京币世界网络科技有限公司,币世界,150-500人,A轮,朝阳区,项目助理实习（数据分析方向）,在校/应届,本科,4k-6k,"地铁周边,周末双休,超强团队","移动互联网,金融",产品|需求|项目类,"['岗位晋升', '五险一金', '节日礼物']",数据分析,北京
北京币世界网络科技有限公司,币世界,150-500人,A轮,朝阳区,数据分析实习生,在校/应届,本科,4k-5k,周末双休,"移动互联网,金融",开发|测试|运维类,"['岗位晋升', '五险一金', '节日礼物']",数据开发,北京
交叉科技（北京）有限公司,交叉科技,15-50人,A轮,海淀区,量化数据分析实习生,在校/应届,本科,4k-8k,创业公司、科学家团队、项目分红、零食下午茶,"区块链,人工智能",开发|测试|运维类,[],数据开发,北京
